id,english_name,japanese_name
1,SEAL,あざらし
2,HORSE MACKEREL,あじ
3,SEA LION,あしか
4,TILEFISH,あまだい
5,ABALONE,あわび
6,MONKFISH,あんこう
7,SQUID,いか
8,LOBSTER,いせえび
9,DOLPHIN,いるか
10,EEL,うなぎ
11,RAY,えい
12,FUR SEAL,おっとせい
13,SEAWEED,かいそう
14,BONITO,かつお
15,CRAB,かに
16,HORSESHOE CRAB,かぶとがに
17,TURTLE,かめ
18,FLATFISH,かれい
19,FILEFISH,かわはぎ
20,WHALE,くじら
21,JELLYFISH,くらげ
22,PRAWN,くるまえび
23,BLACK PORGY,くろだい
24,SALMON,さけ
25,TURBAN SHELL,さざえ
26,SHARK,さめ
27,CORAL,さんご
28,SAURY,さんま
29,KILLER WHALE,しゃち
30,SEA BREAM,たい
31,OCTOPUS,たこ
32,HAIRTAIL,たちうお
33,SEA HORSE,たつのおとしご
34,CODFISH,たら
35,FLYING FISH,とびうお
36,SANDFISH,はたはた
37,CHERRY STONE,はまぐり
38,STARFISH,ひとで
39,FLOUNDER,ひらめ
40,SEA LAWYER,ふか
41,GLOBEFISH,ふぐ
42,YELLOWTAIL,ぶり
43,PENGUIN,ぺんぎん
44,TUNA,まぐろ
45,SUNFISH,まんぼう
46,HERMIT CRAB,やどかり
47,SEA OTTER,らっこ